NAME,20-24,2010 pop. Estimate for people ages 20-24,2015 pop. Estimate for people ages 20-24,2020 pop. Projection for people ages 20-24,2025 pop. Projection for people ages 20-24, 2030 pop. Projection for people ages 20-24, 2035 pop. Projection for people ages 20-24, 2040 pop. Projection for people ages 20-24, 2050 pop. Projection for people ages 20-24, 2055 pop. Projection for people ages 20-24, 2060 pop. Projection for people ages 20-24
Alameda County,20-24,108432,118865,124208,127785,130985,130369,130810,129623,128069,129346,131091
Alpine County,20-24,52,60,73,84,78,36,40,50,61,67,51
Amador County,20-24,1668,2268,2176,2104,1943,1956,2168,2305,2362,2340,2272
Butte County,20-24,23248,26362,27136,27566,28013,28018,28259,28170,28733,28861,28858
Calaveras County,20-24,1885,2849,2731,2290,2191,2051,2287,2545,2611,2586,2438
Colusa County,20-24,1278,1734,1647,1694,1807,1562,1662,1717,1788,1766,1739
Contra Costa County,20-24,60246,65993,67927,68799,67469,63336,66721,68234,69182,70265,70596
Del Norte County,20-24,1752,1899,1991,1866,2048,1972,1963,1983,2001,2034,2027
El Dorado County,20-24,9069,12347,13178,13355,12584,11816,12459,13748,14834,15589,15455
Fresno County,20-24,75407,86392,89223,90474,95624,98289,95663,98144,101204,103948,107547
Glenn County,20-24,1804,2182,2119,2068,2196,2034,1980,2129,2184,2169,2139
Humboldt County,20-24,12017,12026,12495,12711,13454,13365,13250,12698,12259,12332,12550
Imperial County,20-24,13228,15449,15453,15381,15882,19369,18492,18746,19316,19781,20074
Inyo County,20-24,863,1122,1016,872,1012,1153,955,954,943,943,949
Kern County,20-24,65620,77442,77845,81773,88035,86827,87551,93042,98118,102127,104903
Kings County,20-24,13084,12673,13377,14370,16879,16712,15951,16042,16365,17227,17700
Lake County,20-24,3386,4088,3786,3743,3952,4194,4172,4357,4495,4578,4698
Lassen County,20-24,2884,2535,2647,2421,2565,2551,2500,2466,2397,2354,2396
Los Angeles County,20-24,752308,804992,782813,750557,767246,774331,735365,704533,684581,671814,669444
Madera County,20-24,10947,12469,12899,13626,14155,14075,13814,14424,15390,15899,16306
Marin County,20-24,10338,11834,13124,15290,14427,12286,11589,11264,11979,12973,13539
Mariposa County,20-24,818,1125,1093,943,918,970,1001,1024,1115,1104,1067
Mendocino County,20-24,4846,5254,5273,5373,5535,5474,5280,5393,5409,5447,5415
Merced County,20-24,20236,24113,25139,26228,27306,26904,26922,28516,30097,31665,32247
Modoc County,20-24,413,639,630,597,579,423,483,516,533,519,495
Mono County,20-24,1070,699,756,926,974,845,814,781,725,758,754
Monterey County,20-24,31898,34011,35295,36598,38572,38365,37083,36396,35826,36110,36738
Napa County,20-24,8347,9625,9841,9592,9272,8611,8537,8801,8862,8785,8808
Nevada County,20-24,4438,6195,6230,5644,5407,5285,5566,5939,6381,6746,6678
Orange County,20-24,212657,236349,238397,235365,238223,239199,233712,223786,219908,216849,215918
Placer County,20-24,17752,20816,22261,22243,20438,18730,19756,21439,23380,23991,23903
Plumas County,20-24,938,1243,1075,1055,1000,919,1017,1049,1060,1024,998
Riverside County,20-24,155992,182348,185990,184437,189884,186462,191692,194084,194540,193124,192634
Sacramento County,20-24,101554,117857,122855,125761,130605,130302,130053,130423,134059,137518,141490
San Benito County,20-24,3525,4554,4731,4574,4517,4209,4488,4721,4824,4909,4935
San Bernardino County,20-24,160203,177308,179457,183871,196749,200999,203535,206275,211224,217377,224641
San Diego County,20-24,270073,260229,262459,269321,298691,315731,310230,297637,288553,288345,298599
San Francisco County,20-24,60755,48325,48719,50580,55951,64193,64829,64258,60103,58709,60647
San Joaquin County,20-24,48962,57491,61309,62892,65458,64582,66400,67961,69715,70202,70853
San Luis Obispo County,20-24,27203,26344,27755,28209,27828,27623,27696,27128,26910,26555,26779
San Mateo County,20-24,40459,40170,39225,42056,44505,41670,42998,40533,38792,38397,40421
Santa Barbara County,20-24,42738,44255,44564,44238,45850,46869,45285,44387,44409,44203,44267
Santa Clara County,20-24,114520,121703,131177,143977,152036,150873,145575,143621,148213,156886,166435
Santa Cruz County,20-24,24247,26101,26974,27054,29186,30423,28735,28414,28705,28669,29412
Shasta County,20-24,10957,12148,11456,11311,11437,11644,11931,11910,11879,11965,11984
Sierra County,20-24,117,180,163,143,165,130,167,170,175,183,179
Siskiyou County,20-24,2206,2711,2814,2542,2574,2500,2493,2605,2699,2727,2674
Solano County,20-24,28263,31396,33848,35152,36396,36761,37295,37884,39428,39580,40188
Sonoma County,20-24,31435,32356,33023,32905,32067,29856,30207,29355,29013,28871,28673
Stanislaus County,20-24,36981,45229,48084,48357,50290,50103,51305,52222,53637,53813,53936
Sutter County,20-24,6376,7358,7392,7620,7580,6989,7547,7772,7848,8049,7900
Tehama County,20-24,3684,4677,4101,4098,4133,4220,4312,4620,4796,4875,4807
Trinity County,20-24,558,815,734,686,678,668,732,843,895,910,906
Tulare County,20-24,32336,34910,36399,39356,42068,41268,39732,40734,42973,44089,44953
Tuolumne County,20-24,2970,3553,3239,2865,2873,2830,2784,2926,2958,2968,2924
Ventura County,20-24,56261,63151,61305,61519,62398,60928,58657,58573,58633,58762,58197
Yolo County,20-24,27709,31499,34480,35332,37850,38442,38476,39055,39843,41077,42689
Yuba County,20-24,5395,5764,5799,5924,6189,6079,5836,5869,5904,5907,5895
