NAME,90-94,2010 pop. Estimate for people ages 90-94,2015 pop. Estimate for people ages 90-94,2020 pop. Projection for people ages 90-94,2025 pop. Projection for people ages 90-94, 2030 pop. Projection for people ages 90-94, 2035 pop. Projection for people ages 90-94, 2040 pop. Projection for people ages 90-94, 2050 pop. Projection for people ages 90-94, 2055 pop. Projection for people ages 90-94, 2060 pop. Projection for people ages 90-94
Alameda County,90-94,6666,8024,9883,11078,14205,19735,30171,37460,44754,49578,52956
Alpine County,90-94,0,0,0,11,11,16,32,37,38,31,31
Amador County,90-94,279,328,430,466,626,844,1135,1248,1294,1338,1236
Butte County,90-94,1574,1719,1829,1810,2177,2884,3962,4547,4368,4060,4004
Calaveras County,90-94,238,346,410,618,833,1128,1560,1687,1899,1797,1755
Colusa County,90-94,93,128,139,146,166,237,331,412,407,413,431
Contra Costa County,90-94,5280,6547,7729,8586,10555,15212,22830,27928,33870,37275,38474
Del Norte County,90-94,110,118,175,202,240,296,405,483,506,476,353
El Dorado County,90-94,871,975,1298,1605,2236,3189,4746,5652,6537,6255,5447
Fresno County,90-94,3518,4220,5277,5641,6653,9094,12118,15192,17310,19077,19511
Glenn County,90-94,136,164,188,180,259,300,369,505,507,575,511
Humboldt County,90-94,720,780,905,897,1173,1491,2328,2579,2817,2408,2200
Imperial County,90-94,450,799,1210,1370,1658,2028,2829,3780,4456,4721,4921
Inyo County,90-94,144,162,195,203,236,299,385,500,605,567,526
Kern County,90-94,2114,2681,3313,3620,4663,6185,7904,10212,12406,13141,13134
Kings County,90-94,340,441,569,713,877,1025,1432,1774,2107,1923,1882
Lake County,90-94,350,410,497,557,702,958,1262,1359,1423,1256,1163
Lassen County,90-94,119,161,164,195,255,363,518,603,614,585,514
Los Angeles County,90-94,40443,51817,65505,74901,93182,124819,180275,232111,286272,321155,349820
Madera County,90-94,468,646,877,974,1253,1593,2140,2435,2936,2903,3347
Marin County,90-94,1841,2105,2530,2776,3654,5698,7943,8570,9063,9074,9593
Mariposa County,90-94,92,162,199,265,324,461,591,671,775,694,622
Mendocino County,90-94,564,568,603,664,850,1352,2168,2291,2101,1917,1875
Merced County,90-94,813,928,1218,1391,1708,2263,3010,3654,4453,5191,5383
Modoc County,90-94,59,69,80,112,133,177,234,228,234,191,207
Mono County,90-94,18,0,0,21,92,159,299,402,547,522,448
Monterey County,90-94,1855,2304,2873,2996,3533,4962,7486,9309,10552,10968,11519
Napa County,90-94,1040,956,1061,1223,1529,1966,2724,3046,3626,3559,3867
Nevada County,90-94,773,832,1032,1128,1539,2231,3294,3594,3564,3218,3062
Orange County,90-94,13041,17152,21176,24404,29341,39420,53176,64501,80824,89848,97737
Placer County,90-94,1937,2504,3381,4164,5165,6842,8887,10137,11750,12569,12706
Plumas County,90-94,127,124,187,220,308,429,556,603,562,460,357
Riverside County,90-94,8006,11895,15286,18139,22974,31331,42728,54179,68975,79557,85072
Sacramento County,90-94,6078,7292,8813,9719,11502,14847,22508,27551,32728,35723,37715
San Benito County,90-94,197,219,321,324,427,639,966,1276,1558,1780,1863
San Bernardino County,90-94,5390,6652,9032,10572,13203,17878,25541,32959,41320,45217,47102
San Diego County,90-94,14269,17944,21344,23045,28732,38382,56509,70096,84161,90259,92986
San Francisco County,90-94,4774,6182,7834,8445,9866,12026,18120,20904,22134,24622,28223
San Joaquin County,90-94,2613,3021,3538,3735,4728,6285,8885,11110,13732,16106,17299
San Luis Obispo County,90-94,1728,2044,2462,2639,3280,4698,6922,8553,9166,8778,8361
San Mateo County,90-94,4175,5241,6135,6504,8140,10315,15076,17789,20271,22383,24338
Santa Barbara County,90-94,2517,2916,3387,3631,4089,5428,7435,9043,10757,11203,10894
Santa Clara County,90-94,7486,10198,12757,15351,18832,25174,34071,41929,52238,59283,63024
Santa Cruz County,90-94,1256,1446,1626,1691,2193,3296,5516,6984,7427,7225,7155
Shasta County,90-94,1081,1112,1364,1440,1663,2303,2820,3117,3239,3213,2887
Sierra County,90-94,26,18,24,50,50,50,101,97,82,88,68
Siskiyou County,90-94,291,375,419,465,559,796,1031,1090,1026,857,728
Solano County,90-94,1563,1997,2539,3209,4215,5886,8548,10366,12198,13149,12680
Sonoma County,90-94,3034,3820,4008,4453,5648,8569,12655,15121,16654,16949,17102
Stanislaus County,90-94,1921,2405,2985,3261,3819,4956,6735,8034,9595,10484,10542
Sutter County,90-94,406,441,613,720,831,1037,1335,1492,1800,2057,2216
Tehama County,90-94,292,385,440,534,581,789,1003,1079,1215,1242,1174
Trinity County,90-94,65,80,137,168,194,303,389,399,380,321,210
Tulare County,90-94,1394,1575,2014,2299,2683,3505,4939,5834,6970,7664,8105
Tuolumne County,90-94,395,452,582,668,831,1031,1417,1658,1677,1595,1426
Ventura County,90-94,3799,4763,5512,6334,7755,10469,15141,19155,23490,24912,24352
Yolo County,90-94,747,1004,1063,1311,1688,2251,3241,4094,4353,4723,5022
Yuba County,90-94,215,244,278,372,410,520,739,904,1105,1251,1270
